鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
537,122,16,10,5,8,5,3,1,0,0,9,6,2,2,4,0,0,0,0,0,0,0,0,0,17,25,0,0,0,23,2,0,0,0,1,0,0,0
538,68,3,4,0,8,1,1,1,0,1,3,2,1,0,1,0,0,0,0,0,0,0,3,0,9,20,0,0,1,14,1,1,1,1,1,1,1,1
701,375,23,41,13,27,10,14,4,0,3,25,12,10,6,5,0,0,0,0,0,0,0,0,0,33,119,0,1,0,61,0,0,0,0,0,0,1,0
702,104,5,12,4,6,4,3,0,0,1,5,5,2,0,0,0,0,0,0,0,0,0,0,0,26,23,0,0,0,16,0,0,0,0,0,0,0,0
703,45,4,5,0,3,1,0,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,6,0,0,0,0,0,0,0,0
704,20,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0
705,38,2,1,2,1,3,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,5,0,0,0,0,0,0,0,0
706,61,5,8,2,3,1,1,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,11,0,0,0,0,0,0,0,0
707,25,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,3,0,0,0,0,0,0,0,0
708,60,3,5,3,4,1,3,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,12,18,0,0,0,10,0,0,0,0,0,0,0,0
709,31,4,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,5,0,0,0,0,0,0,0,0
710,16,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,0
711,25,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,7,0,0,0,0,0,0,0,0
712,15,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,2,1,0,0,0,0,0,0,0
713,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
714,16,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,1,0,0,0,0,0,0,0
715,38,3,3,0,4,1,1,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,7,0,0,0,0,0,0,0,0
716,14,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0
717,21,4,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,3,0,1,0,1,0,0,0
