鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,兒童牙科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
3812,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3813,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3901,130,7,10,4,11,7,3,1,0,1,8,6,3,3,1,0,0,0,0,0,0,0,0,0,11,34,0,0,0,0,28,0,0,0,0,0,0,0,0
3902,35,8,5,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,7,0,0,0,0,0,0,0,0
3903,88,8,9,5,13,5,5,0,0,0,3,4,2,1,1,0,0,0,0,0,0,0,1,0,3,21,0,1,0,0,17,0,0,0,0,0,0,0,0
3904,40,4,7,2,1,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,7,0,0,0,0,0,0,0,0
3905,9,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
3906,47,5,8,2,4,2,1,2,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,7,10,0,1,0,0,8,0,0,0,0,0,0,0,0
3907,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
3908,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
3909,17,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0
3910,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
3911,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3912,15,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0
3913,19,3,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0
